entry_time,exit_time,direction,entry,stop,target,exit_price,exit_reason,risk_ticks,gross_r,net_r,pnl_usd,killzone,weekday,in_ntz,fvg_direction,fvg_created,inverted_time,rating,grade
2024-07-25 10:05:00-04:00,2024-07-25 10:08:00-04:00,bullish,18847.115,18815.565,18983.109,18815.315,stop,126.20000000001164,-1.007923930269413,-1.0150554675118846,-640.5,ny_am,Thursday,False,bearish,2024-07-25 10:03:00-04:00,2024-07-25 10:05:00-04:00,7,B+
2024-10-14 10:06:00-04:00,2024-10-14 10:07:00-04:00,bearish,20463.347,20470.775,20364.408,20471.025,stop,29.711999999999534,-1.0336564351103936,-1.0639472267097478,-158.06,ny_am,Monday,False,bullish,2024-10-14 09:57:00-04:00,2024-10-14 10:06:00-04:00,8,A-
2024-11-06 10:33:00-05:00,2024-11-06 10:37:00-05:00,bearish,20672.703,20689.019,20639.998,20639.998,target,65.26399999999558,2.004474135817845,1.990683991174549,649.6,ny_am,Wednesday,False,bullish,2024-11-06 10:32:00-05:00,2024-11-06 10:33:00-05:00,7,B+
2024-11-07 10:14:00-05:00,2024-11-07 10:33:00-05:00,bearish,20997.181,21005.509,20973.365,20973.365,target,33.3119999999908,2.859750240154355,2.832732949088065,471.82,ny_am,Thursday,False,bullish,2024-11-07 10:13:00-05:00,2024-11-07 10:14:00-05:00,6,B
2024-12-09 10:41:00-05:00,2024-12-09 10:46:00-05:00,bullish,21516.914,21499.62,21566.299,21499.37,stop,69.17600000000675,-1.014455880652248,-1.0274661732392711,-355.38,ny_am,Monday,False,bearish,2024-12-09 10:38:00-05:00,2024-12-09 10:41:00-05:00,8,A-
2024-12-11 10:16:00-05:00,2024-12-11 10:29:00-05:00,bearish,21675.658,21689.119,21647.586,21647.586,target,53.84399999999732,2.085431988708232,2.0687170343957733,556.94,ny_am,Wednesday,False,bullish,2024-12-11 10:14:00-05:00,2024-12-11 10:16:00-05:00,7,B+
2024-12-16 09:57:00-05:00,2024-12-16 09:58:00-05:00,bearish,21926.369,21941.876,21880.498,21942.126,stop,62.028000000005704,-1.016121751467078,-1.030631327787448,-319.64,ny_am,Monday,False,bullish,2024-12-16 09:54:00-05:00,2024-12-16 09:57:00-05:00,8,A-
2025-06-26 11:22:00-04:00,2025-06-26 11:29:00-04:00,bearish,22380.181,22386.664,22353.487,22353.487,target,25.9320000000007,4.117538176769827,4.082832022211752,529.38,ny_am,Thursday,False,bullish,2025-06-26 11:21:00-04:00,2025-06-26 11:22:00-04:00,6,B
2025-06-27 10:14:00-04:00,2025-06-27 10:22:00-04:00,bearish,22585.081,22596.786,22553.821,22597.036,stop,46.820000000006985,-1.0213583938487794,-1.0405809483126809,-243.6,ny_am,Friday,False,bullish,2025-06-27 10:13:00-04:00,2025-06-27 10:14:00-04:00,7,B+
2025-07-03 10:15:00-04:00,2025-07-03 10:19:00-04:00,bearish,22837.039,22844.475,22721.364,22844.725,stop,29.7439999999915,-1.033620225927928,-1.063878429263063,-158.22,ny_am,Thursday,False,bullish,2025-07-03 10:10:00-04:00,2025-07-03 10:15:00-04:00,6,B
2025-07-21 09:58:00-04:00,2025-07-21 10:00:00-04:00,bearish,23212.525,23220.71,23137.464,23220.96,stop,32.73999999999069,-1.0305436774587746,-1.0580329871716718,-173.2,ny_am,Monday,False,bullish,2025-07-21 09:56:00-04:00,2025-07-21 09:58:00-04:00,8,A-
2025-07-29 09:41:00-04:00,2025-07-29 09:49:00-04:00,bearish,23497.237,23507.397,23458.065,23458.065,target,40.63999999999942,3.8555118110239035,3.8333661417325646,778.94,ny_am,Tuesday,False,bullish,2025-07-29 09:37:00-04:00,2025-07-29 09:41:00-04:00,6,B
2025-07-31 10:44:00-04:00,2025-07-31 10:45:00-04:00,bullish,23483.382,23470.92,23513.099,23470.67,stop,49.84800000001269,-1.0200609853955975,-1.0381158722516353,-258.74,ny_am,Thursday,False,bearish,2025-07-31 10:43:00-04:00,2025-07-31 10:44:00-04:00,7,B+
2025-09-11 11:21:00-04:00,2025-09-11 11:31:00-04:00,bearish,24002.893,24014.488,23972.197,24014.738,stop,46.38000000000466,-1.0215610176800323,-1.0409659335920614,-241.4,ny_am,Thursday,False,bullish,2025-09-11 11:19:00-04:00,2025-09-11 11:21:00-04:00,10,A+
2025-09-18 10:33:00-04:00,2025-09-18 10:57:00-04:00,bearish,24535.033,24547.436,24488.577,24488.577,target,49.612000000008265,3.7455454325558795,3.7274046601621067,924.62,ny_am,Thursday,False,bullish,2025-09-18 10:31:00-04:00,2025-09-18 10:33:00-04:00,10,A+
2025-09-22 10:08:00-04:00,2025-09-22 10:13:00-04:00,bearish,24630.381,24637.208,24612.447,24612.447,target,27.30799999998999,2.626922513550268,2.5939651384220888,354.18,ny_am,Monday,False,bullish,2025-09-22 10:07:00-04:00,2025-09-22 10:08:00-04:00,9,A
2026-04-17 10:55:00-04:00,2026-04-17 10:57:00-04:00,bearish,26647.496,26680.771,26570.066,26681.021,stop,133.10000000000582,-1.0075131480090154,-1.0142749812171294,-675.0,ny_am,Friday,False,bullish,2026-04-17 10:41:00-04:00,2026-04-17 10:55:00-04:00,6,B
2026-04-22 10:41:00-04:00,2026-04-22 11:01:00-04:00,bearish,26833.588,26846.142,26793.649,26793.649,target,50.21600000000035,3.1813764537197873,3.1634538792415334,794.28,ny_am,Wednesday,False,bullish,2026-04-22 10:40:00-04:00,2026-04-22 10:41:00-04:00,10,A+
2026-04-23 11:15:00-04:00,2026-04-23 11:16:00-04:00,bearish,26963.37,26972.169,26944.072,26972.419,stop,35.19600000001083,-1.0284123195817618,-1.0539834072053476,-185.48,ny_am,Thursday,False,bullish,2026-04-23 11:11:00-04:00,2026-04-23 11:15:00-04:00,6,B
2026-05-01 09:42:00-04:00,2026-05-01 09:44:00-04:00,bearish,27643.849,27657.708,27518.653,27657.958,stop,55.43600000000151,-1.0180388195396488,-1.0342737571253329,-286.68,ny_am,Friday,False,bullish,2026-05-01 09:41:00-04:00,2026-05-01 09:42:00-04:00,8,A-
2026-05-05 09:38:00-04:00,2026-05-05 09:41:00-04:00,bearish,27917.849,27942.425,27863.697,27942.675,stop,98.30400000000373,-1.0101725260416663,-1.0193277994791659,-501.02,ny_am,Tuesday,False,bullish,2026-05-05 09:37:00-04:00,2026-05-05 09:38:00-04:00,9,A
2026-05-07 10:30:00-04:00,2026-05-07 10:33:00-04:00,bearish,28750.436,28762.697,28651.305,28762.947,stop,49.04399999999441,-1.0203898540086476,-1.0387407226164305,-254.72,ny_am,Thursday,False,bullish,2026-05-07 10:26:00-04:00,2026-05-07 10:30:00-04:00,4,C
